customer_id,customer_name,region,segment,acquisition_channel,signup_date,fleet_size,account_status,annual_contract_value
C10000,Customer 0001,Kochi,Mid-Market,Paid Search,2024-04-25,116,Active,17157.4
C10001,Customer 0002,Bengaluru,Mid-Market,Event,2026-03-12,18,Active,3199.04
C10002,Customer 0003,Kochi,SMB,Organic,2025-02-07,235,Churned,34544.5
C10003,Customer 0004,Chennai,Mid-Market,Paid Search,2024-09-28,179,Active,20254.88
C10004,Customer 0005,Kochi,Mid-Market,Referral,2025-01-14,69,Active,5734.7
C10005,Customer 0006,Kochi,Mid-Market,Organic,2024-08-05,268,Active,40516.99
C10006,Customer 0007,Chennai,SMB,Paid Search,2026-01-09,433,Active,83883.96
C10007,Customer 0008,Mumbai,SMB,Referral,2026-04-29,155,Active,16216.48
C10008,Customer 0009,Chennai,SMB,Referral,2024-03-13,235,Churned,17223.97
C10009,Customer 0010,Kochi,SMB,Organic,2025-09-02,22,Active,2151.13
C10010,Customer 0011,Ahmedabad,SMB,Partner,2024-10-12,47,Active,4386.29
C10011,Customer 0012,Ahmedabad,SMB,Partner,2024-02-10,138,At Risk,13567.49
C10012,Customer 0013,Bengaluru,Mid-Market,Referral,2026-02-22,387,Active,60685.99
C10013,Customer 0014,Chennai,SMB,Partner,2024-02-22,567,At Risk,65801.73
C10014,Customer 0015,Hyderabad,Mid-Market,Referral,2024-06-24,671,Active,95711.43
C10015,Customer 0016,Pune,Mid-Market,Outbound,2024-01-22,536,Active,75797.91
C10016,Customer 0017,Ahmedabad,Mid-Market,Outbound,2025-02-04,526,Churned,43145.63
C10017,Customer 0018,Hyderabad,SMB,Partner,2025-05-24,795,At Risk,146091.48
C10018,Customer 0019,Pune,SMB,Event,2024-09-29,221,At Risk,23289.86
C10019,Customer 0020,Ahmedabad,Mid-Market,Organic,2024-03-01,679,Active,91546.93
C10020,Customer 0021,Kochi,Enterprise,Organic,2024-04-08,796,At Risk,84143.63
C10021,Customer 0022,Delhi NCR,SMB,Organic,2026-03-04,484,Active,61829.84
C10022,Customer 0023,Hyderabad,Mid-Market,Partner,2025-11-16,715,Active,180297.69
