activity_id,customer_id,activity_date,campaign,channel,engagement_score,converted
M80000,C10335,2026-04-25,Retention Outreach,LinkedIn,69.6,1
M80001,C10115,2026-07-09,Fleet Efficiency Q1,Email,63.6,0
M80002,C10485,2025-09-12,Retention Outreach,Search,34.8,0
M80003,C10390,2026-02-04,Analytics Launch,Webinar,67.2,0
M80004,C10173,2026-04-02,Driver Safety,Email,65.8,0
M80005,C10964,2026-07-27,Year-End Upgrade,Email,65.9,0
M80006,C10762,2026-01-13,Retention Outreach,LinkedIn,64.9,0
M80007,C10545,2025-05-23,Fleet Efficiency Q1,Email,49.0,0
M80008,C10765,2025-07-18,Analytics Launch,Event,73.8,0
M80009,C10312,2025-05-02,Driver Safety,Event,48.2,1
M80010,C10935,2025-04-25,Analytics Launch,Email,40.5,0
M80011,C10411,2025-06-27,Partner Referral,Search,75.5,0
M80012,C10386,2025-10-17,Retention Outreach,Search,80.7,0
M80013,C10568,2026-04-02,Driver Safety,Email,74.1,0
M80014,C10578,2025-06-18,Analytics Launch,Webinar,57.9,1
M80015,C10619,2025-04-19,Year-End Upgrade,Event,23.2,0
M80016,C10832,2025-03-15,Analytics Launch,Webinar,91.6,0
M80017,C10267,2025-04-24,Fleet Efficiency Q1,Event,22.9,0
M80018,C10707,2025-09-09,Retention Outreach,Webinar,73.7,0
M80019,C10197,2025-08-27,Driver Safety,Webinar,100.0,0
M80020,C10240,2025-08-20,Fleet Efficiency Q1,Event,65.0,0
M80021,C10495,2025-07-04,Partner Referral,Partner,67.8,0
M80022,C10524,2025-09-20,Year-End Upgrade,Partner,69.6,0
M80023,C10644,2026-01-10,Fleet Efficiency Q1,Partner,66.0,0
M80024,C10139,2025-01-26,Partner Referral,Email,100.0,0
M80025,C10816,2026-06-01,Driver Safety,Partner,45.1,1
M80026,C10557,2025-06-27,Retention Outreach,Partner,42.6,0
M80027,C10592,2025-03-22,Retention Outreach,Search,55.4,0
M80028,C10747,2025-04-12,Analytics Launch,Webinar,96.8,0
M80029,C10692,2025-11-14,Year-End Upgrade,Partner,50.5,1
M80030,C10428,2025-10-30,Year-End Upgrade,Email,70.6,0
M80031,C10483,2025-02-21,Analytics Launch,Webinar,83.4,0
M80032,C10232,2025-10-17,Retention Outreach,Partner,77.6,0
M80033,C10566,2025-05-09,Analytics Launch,LinkedIn,82.4,0
M80034,C10202,2026-06-13,Fleet Efficiency Q1,LinkedIn,90.4,0
M80035,C10635,2025-06-29,Driver Safety,Email,68.2,0
M80036,C10417,2026-08-03,Analytics Launch,LinkedIn,52.9,0
M80037,C10236,2025-12-02,Year-End Upgrade,Search,64.9,0
M80038,C10475,2026-07-14,Year-End Upgrade,Event,55.2,0
M80039,C10934,2025-11-18,Year-End Upgrade,Email,100.0,0
M80040,C10562,2025-03-15,Analytics Launch,Webinar,51.3,0
M80041,C10345,2026-01-08,Driver Safety,Email,71.7,0
M80042,C10450,2025-10-05,Fleet Efficiency Q1,Partner,32.0,1
M80043,C10604,2026-04-20,Driver Safety,Search,64.7,0
M80044,C10153,2025-08-16,Partner Referral,Search,56.3,0
M80045,C10560,2025-04-19,Analytics Launch,Event,75.5,0
M80046,C10033,2025-03-07,Partner Referral,Partner,76.0,1
M80047,C10853,2026-03-08,Fleet Efficiency Q1,Email,90.3,0
M80048,C10609,2025-05-16,Fleet Efficiency Q1,LinkedIn,88.8,0
M80049,C10113,2026-01-22,Fleet Efficiency Q1,LinkedIn,60.7,0
M80050,C10465,2025-03-19,Analytics Launch,Webinar,43.1,0
M80051,C10884,2025-02-16,Analytics Launch,Partner,45.5,0
M80052,C10964,2026-02-17,Fleet Efficiency Q1,Webinar,68.1,1
M80053,C10137,2025-07-19,Year-End Upgrade,Search,65.2,1
M80054,C10270,2025-11-26,Fleet Efficiency Q1,Partner,67.2,0
M80055,C10144,2025-01-17,Analytics Launch,Partner,51.3,0
M80056,C10368,2025-04-20,Analytics Launch,Email,90.7,1
M80057,C10862,2025-02-22,Fleet Efficiency Q1,Webinar,32.5,1
M80058,C10706,2025-06-12,Fleet Efficiency Q1,Partner,50.2,0
M80059,C10257,2025-06-14,Partner Referral,Webinar,40.5,0
M80060,C10325,2025-08-06,Retention Outreach,LinkedIn,57.8,1
M80061,C10611,2025-05-22,Retention Outreach,Email,86.9,0
M80062,C10596,2025-09-22,Analytics Launch,LinkedIn,56.2,0
M80063,C10463,2026-06-07,Analytics Launch,Search,64.0,0
M80064,C10421,2025-02-19,Partner Referral,Event,75.3,0
M80065,C10934,2026-06-03,Retention Outreach,Webinar,55.3,0
M80066,C10503,2025-08-28,Retention Outreach,Event,69.7,0
M80067,C10782,2025-12-02,Year-End Upgrade,Email,67.0,1
M80068,C10959,2026-01-25,Year-End Upgrade,Partner,39.4,0
M80069,C10334,2026-03-03,Fleet Efficiency Q1,LinkedIn,52.7,1
M80070,C10778,2026-07-02,Driver Safety,Webinar,69.1,1
M80071,C10813,2026-08-03,Year-End Upgrade,Search,87.6,0
M80072,C10219,2025-02-27,Partner Referral,Event,87.6,0
M80073,C10225,2025-08-26,Year-End Upgrade,Partner,100.0,1
M80074,C10161,2025-11-09,Analytics Launch,Search,71.7,0
M80075,C10615,2025-10-31,Retention Outreach,Webinar,53.7,0
M80076,C10761,2026-07-29,Year-End Upgrade,Partner,60.7,1
M80077,C10751,2026-01-13,Year-End Upgrade,Partner,59.7,0
M80078,C10387,2025-08-22,Partner Referral,Webinar,53.8,1
M80079,C10703,2026-06-18,Driver Safety,Partner,69.7,0
M80080,C10029,2026-02-28,Year-End Upgrade,Partner,70.6,0
M80081,C10656,2026-04-08,Retention Outreach,Email,38.5,0
M80082,C10474,2025-12-30,Year-End Upgrade,Search,83.8,0
M80083,C10829,2025-02-07,Driver Safety,Event,25.3,0
M80084,C10967,2026-07-17,Retention Outreach,LinkedIn,57.6,1
M80085,C10556,2026-02-18,Analytics Launch,Partner,85.0,0
M80086,C10621,2025-03-28,Partner Referral,Webinar,74.1,0
M80087,C10928,2025-05-27,Driver Safety,LinkedIn,54.9,0
M80088,C10343,2025-07-17,Partner Referral,Search,100.0,0
M80089,C10144,2025-05-28,Retention Outreach,Search,53.2,0
M80090,C10506,2025-12-27,Fleet Efficiency Q1,Email,22.0,0
M80091,C10355,2025-11-14,Driver Safety,LinkedIn,71.1,0
M80092,C10634,2025-05-04,Analytics Launch,Partner,26.4,1
