product_id,product_name,category,unit_cost,list_price,launch_date
P1000,Orion Product 001,Fleet Software,130.3,898.08,2026-03-02
P1001,Orion Product 002,Connectivity,567.31,2114.78,2026-01-24
P1002,Orion Product 003,Analytics,1191.46,2190.7,2025-06-18
P1003,Orion Product 004,Maintenance,1078.68,1732.82,2024-12-01
P1004,Orion Product 005,Maintenance,918.44,1056.21,2025-06-16
P1005,Orion Product 006,Accessories,1077.69,1559.71,2024-09-28
P1006,Orion Product 007,Fleet Software,1080.66,1596.08,2024-10-22
P1007,Orion Product 008,Connectivity,661.12,945.08,2025-06-01
P1008,Orion Product 009,Tracking Hardware,433.84,1463.82,2025-04-30
P1009,Orion Product 010,Fleet Software,944.65,1086.35,2025-05-08
P1010,Orion Product 011,Analytics,821.06,944.22,2024-11-22
P1011,Orion Product 012,Accessories,498.5,1226.43,2024-12-13
P1012,Orion Product 013,Connectivity,185.8,485.69,2024-01-09
P1013,Orion Product 014,Connectivity,916.4,1053.86,2025-05-26
P1014,Orion Product 015,Connectivity,373.96,1864.42,2025-05-04
P1015,Orion Product 016,Connectivity,1129.23,2177.72,2026-03-06
P1016,Orion Product 017,Analytics,349.89,1289.74,2025-03-04
P1017,Orion Product 018,Fleet Software,217.49,1870.09,2025-02-01
P1018,Orion Product 019,Accessories,1010.85,2180.16,2024-02-27
P1019,Orion Product 020,Maintenance,251.68,440.27,2024-06-16
P1020,Orion Product 021,Analytics,280.78,1068.9,2024-10-14
P1021,Orion Product 022,Maintenance,751.31,954.77,2024-11-16
P1022,Orion Product 023,Tracking Hardware,1059.51,1218.44,2024-11-04
P1023,Orion Product 024,Accessories,300.01,1698.43,2024-11-30
P1024,Orion Product 025,Connectivity,427.56,1039.25,2025-10-15
P1025,Orion Product 026,Analytics,950.69,1112.12,2024-04-21
P1026,Orion Product 027,Maintenance,1168.45,1343.72,2024-10-09
P1027,Orion Product 028,Connectivity,640.83,736.95,2024-05-18
P1028,Orion Product 029,Analytics,241.17,2009.56,2024-09-18
P1029,Orion Product 030,Maintenance,95.61,241.53,2025-08-04
P1030,Orion Product 031,Maintenance,337.21,627.35,2024-02-09
P1031,Orion Product 032,Tracking Hardware,227.64,748.72,2024-10-15
P1032,Orion Product 033,Fleet Software,838.98,1154.9,2024-01-21
P1033,Orion Product 034,Analytics,216.45,1352.21,2026-03-22
P1034,Orion Product 035,Accessories,647.09,1161.24,2025-09-10
P1035,Orion Product 036,Fleet Software,857.57,986.21,2024-07-26
P1036,Orion Product 037,Accessories,730.85,840.48,2024-06-17
P1037,Orion Product 038,Connectivity,303.75,1879.36,2024-03-25
P1038,Orion Product 039,Tracking Hardware,980.62,1457.06,2025-02-05
P1039,Orion Product 040,Analytics,881.26,1480.76,2025-10-02
P1040,Orion Product 041,Fleet Software,907.66,1523.92,2025-05-11
P1041,Orion Product 042,Connectivity,226.78,1713.95,2026-01-18
P1042,Orion Product 043,Connectivity,218.6,269.12,2024-10-19
P1043,Orion Product 044,Maintenance,1118.87,1286.7,2024-08-24
P1044,Orion Product 045,Fleet Software,525.29,1256.03,2025-02-10
P1045,Orion Product 046,Accessories,417.06,843.84,2024-06-20
P1046,Orion Product 047,Maintenance,627.21,1881.18,2026-04-09
P1047,Orion Product 048,Accessories,822.41,1139.27,2024-06-06
P1048,Orion Product 049,Connectivity,1150.3,1725.69,2025-02-11
P1049,Orion Product 050,Connectivity,400.82,1896.63,2025-03-19
P1050,Orion Product 051,Connectivity,1115.79,1283.16,2024-02-18
P1051,Orion Product 052,Tracking Hardware,107.84,2014.58,2025-02-02
P1052,Orion Product 053,Maintenance,701.82,1353.6,2025-01-21
P1053,Orion Product 054,Maintenance,790.05,1893.06,2024-08-08
P1054,Orion Product 055,Maintenance,198.61,848.21,2024-04-18
P1055,Orion Product 056,Fleet Software,237.18,1172.57,2024-02-08
P1056,Orion Product 057,Analytics,549.41,1239.39,2024-01-08
P1057,Orion Product 058,Fleet Software,1162.18,1336.51,2025-02-13
P1058,Orion Product 059,Connectivity,747.57,967.03,2024-03-17
P1059,Orion Product 060,Connectivity,1124.99,2030.54,2026-03-26
P1060,Orion Product 061,Accessories,980.88,1443.21,2024-07-27
P1061,Orion Product 062,Connectivity,603.47,693.99,2025-07-08
P1062,Orion Product 063,Maintenance,958.94,1102.78,2025-07-26
P1063,Orion Product 064,Accessories,99.98,542.79,2025-02-25
P1064,Orion Product 065,Maintenance,202.24,232.58,2026-01-21
P1065,Orion Product 066,Tracking Hardware,1008.96,2051.29,2024-04-04
P1066,Orion Product 067,Accessories,972.44,1118.31,2024-07-17
P1067,Orion Product 068,Maintenance,340.56,780.45,2024-08-02
P1068,Orion Product 069,Fleet Software,674.46,1376.88,2024-04-25
P1069,Orion Product 070,Maintenance,758.74,872.55,2024-09-07
P1070,Orion Product 071,Connectivity,1051.87,1209.65,2024-09-22
P1071,Orion Product 072,Tracking Hardware,755.48,1591.22,2025-10-12
P1072,Orion Product 073,Maintenance,542.08,1449.23,2024-09-13
P1073,Orion Product 074,Fleet Software,499.09,2162.7,2026-01-15
P1074,Orion Product 075,Connectivity,556.99,1421.73,2025-10-18
P1075,Orion Product 076,Maintenance,810.16,1128.89,2026-02-05
P1076,Orion Product 077,Tracking Hardware,1051.59,1710.94,2024-03-30
P1077,Orion Product 078,Tracking Hardware,588.36,2001.82,2026-04-16
P1078,Orion Product 079,Analytics,357.58,1627.43,2025-06-05
P1079,Orion Product 080,Connectivity,345.06,2124.58,2026-04-15
P1080,Orion Product 081,Accessories,915.54,1753.11,2024-10-28
P1081,Orion Product 082,Maintenance,994.56,1926.94,2026-03-21
P1082,Orion Product 083,Fleet Software,197.91,383.91,2025-05-15
P1083,Orion Product 084,Connectivity,154.55,1651.45,2024-03-02
P1084,Orion Product 085,Analytics,745.77,1052.18,2024-12-14
P1085,Orion Product 086,Connectivity,243.71,1283.86,2024-04-27
P1086,Orion Product 087,Fleet Software,1003.62,1490.91,2026-03-11
P1087,Orion Product 088,Tracking Hardware,427.57,2138.12,2024-09-15
P1088,Orion Product 089,Connectivity,241.14,2168.39,2024-07-08
P1089,Orion Product 090,Connectivity,1111.49,1278.21,2025-04-14
P1090,Orion Product 091,Maintenance,265.4,1654.19,2024-12-27
P1091,Orion Product 092,Connectivity,398.89,1687.47,2024-03-23
P1092,Orion Product 093,Accessories,252.05,860.31,2025-11-25
P1093,Orion Product 094,Maintenance,209.35,403.93,2025-12-19
P1094,Orion Product 095,Accessories,103.69,233.94,2025-09-23
P1095,Orion Product 096,Tracking Hardware,142.04,1743.55,2025-06-08
P1096,Orion Product 097,Tracking Hardware,275.6,1153.88,2024-12-08
P1097,Orion Product 098,Connectivity,139.79,2170.36,2025-04-06
P1098,Orion Product 099,Analytics,742.08,1103.2,2025-03-18
P1099,Orion Product 100,Fleet Software,842.4,2154.73,2024-05-20
P1100,Orion Product 101,Connectivity,520.87,993.73,2024-03-10
P1101,Orion Product 102,Tracking Hardware,436.15,1777.05,2024-08-03
P1102,Orion Product 103,Connectivity,645.07,741.83,2025-01-21
P1103,Orion Product 104,Fleet Software,1060.01,1288.7,2024-05-16
P1104,Orion Product 105,Connectivity,1033.27,1794.22,2024-03-31
P1105,Orion Product 106,Connectivity,128.69,2045.64,2025-12-25
P1106,Orion Product 107,Connectivity,283.28,1836.3,2024-11-14
P1107,Orion Product 108,Analytics,345.15,396.92,2025-05-11
P1108,Orion Product 109,Maintenance,359.31,914.04,2025-03-21
P1109,Orion Product 110,Connectivity,719.78,827.75,2025-09-16
P1110,Orion Product 111,Tracking Hardware,546.21,628.14,2025-09-20
P1111,Orion Product 112,Connectivity,135.16,1534.38,2024-09-08
P1112,Orion Product 113,Analytics,498.45,1612.18,2025-12-21
P1113,Orion Product 114,Maintenance,666.6,1736.13,2024-11-11
P1114,Orion Product 115,Analytics,193.87,1924.19,2025-12-10
P1115,Orion Product 116,Analytics,1013.47,1665.83,2024-12-10
P1116,Orion Product 117,Fleet Software,138.2,1791.79,2024-04-04
P1117,Orion Product 118,Fleet Software,1115.82,1283.19,2025-10-08
P1118,Orion Product 119,Tracking Hardware,191.01,630.8,2024-01-26
P1119,Orion Product 120,Fleet Software,1024.8,1424.89,2025-10-18
P1120,Orion Product 121,Maintenance,1090.97,1909.16,2024-02-06
P1121,Orion Product 122,Connectivity,1177.12,1353.69,2024-06-24
P1122,Orion Product 123,Analytics,978.27,1204.99,2025-05-27
P1123,Orion Product 124,Maintenance,953.01,1538.44,2026-03-11
P1124,Orion Product 125,Accessories,799.58,919.52,2024-12-13
P1125,Orion Product 126,Analytics,952.48,1095.35,2024-04-12
P1126,Orion Product 127,Fleet Software,230.7,1986.05,2024-07-16
P1127,Orion Product 128,Connectivity,680.4,1526.81,2026-01-31
P1128,Orion Product 129,Analytics,655.93,754.32,2025-09-09
P1129,Orion Product 130,Analytics,1040.48,1898.2,2024-03-26
P1130,Orion Product 131,Analytics,598.34,863.46,2024-11-23
P1131,Orion Product 132,Analytics,511.3,1899.36,2024-08-12
P1132,Orion Product 133,Fleet Software,796.31,915.76,2024-05-31
P1133,Orion Product 134,Analytics,378.44,1360.16,2025-12-20
P1134,Orion Product 135,Connectivity,236.54,963.73,2025-06-09
P1135,Orion Product 136,Tracking Hardware,615.22,713.39,2024-06-01
P1136,Orion Product 137,Analytics,546.92,1967.44,2025-07-07
P1137,Orion Product 138,Fleet Software,340.48,534.57,2024-12-17
P1138,Orion Product 139,Maintenance,491.61,565.35,2024-02-22
P1139,Orion Product 140,Maintenance,490.36,850.95,2025-01-17
P1140,Orion Product 141,Accessories,446.8,1621.16,2024-06-06
P1141,Orion Product 142,Tracking Hardware,505.0,1805.23,2024-07-27
P1142,Orion Product 143,Tracking Hardware,848.03,2197.42,2026-01-17
P1143,Orion Product 144,Maintenance,412.5,757.54,2025-08-26
P1144,Orion Product 145,Accessories,1142.72,1314.13,2024-04-23
P1145,Orion Product 146,Accessories,1106.31,1272.26,2025-12-24
P1146,Orion Product 147,Fleet Software,618.62,1328.49,2025-05-03
P1147,Orion Product 148,Tracking Hardware,447.76,2195.04,2026-01-13
P1148,Orion Product 149,Connectivity,679.69,1586.81,2025-09-27
P1149,Orion Product 150,Fleet Software,1030.39,1370.19,2024-10-15
P1150,Orion Product 151,Accessories,810.9,954.36,2025-03-30
P1151,Orion Product 152,Tracking Hardware,980.92,2026.36,2025-03-27
P1152,Orion Product 153,Accessories,676.65,1168.68,2025-09-03
P1153,Orion Product 154,Tracking Hardware,788.87,907.2,2024-07-30
P1154,Orion Product 155,Maintenance,402.73,899.03,2024-10-10
P1155,Orion Product 156,Analytics,903.08,1038.54,2024-07-27
P1156,Orion Product 157,Fleet Software,306.69,564.06,2024-09-08
P1157,Orion Product 158,Analytics,858.17,986.9,2024-05-17
P1158,Orion Product 159,Analytics,1044.01,1200.61,2024-02-01
P1159,Orion Product 160,Connectivity,227.96,1450.81,2026-03-10
P1160,Orion Product 161,Accessories,768.11,883.33,2024-03-04
P1161,Orion Product 162,Analytics,186.51,1011.78,2026-01-24
P1162,Orion Product 163,Maintenance,892.8,2116.38,2024-01-03
P1163,Orion Product 164,Maintenance,174.63,1691.52,2025-10-22
