ticket_id,customer_id,opened_date,category,priority,channel,assigned_department,status,resolution_hours,csat
ST70000,C10943,2025-01-06,Installation,Low,Email,Support,Resolved,28.38,4.6
ST70001,C10731,2026-01-23,Installation,Low,Portal,Support,Resolved,14.89,4.3
ST70002,C10642,2026-01-08,Software,Medium,Chat,Support,Resolved,1.4,2.7
ST70003,C10129,2026-03-30,Performance,Low,Phone,Support,Resolved,55.41,4.9
ST70004,C10250,2025-07-12,Software,Critical,Email,Support,Open,14.51,4.2
ST70005,C10205,2026-04-28,Performance,Low,Chat,Engineering,Resolved,29.35,4.6
ST70006,C10641,2025-04-09,Training,Low,Phone,Support,Escalated,23.39,3.8
ST70007,C10500,2025-05-15,Billing,Low,Email,Customer Success,Resolved,32.346,2.0
ST70008,C10360,2026-06-16,Installation,High,Portal,Customer Success,Resolved,33.61,2.4
ST70009,C10745,2026-05-27,Hardware,Medium,Chat,Support,Resolved,7.81,3.4
ST70010,C10777,2025-12-14,Software,High,Portal,Support,Resolved,12.89,4.5
ST70011,C10739,2025-12-20,Training,Critical,Email,Support,Resolved,22.5,5.0
ST70012,C10105,2026-02-11,Hardware,Medium,Phone,Support,Resolved,14.16,4.3
ST70013,C10608,2026-04-23,Performance,Low,Chat,Engineering,Resolved,22.17,3.3
ST70014,C10210,2025-05-15,Training,Low,Phone,Support,Resolved,47.24,3.5
ST70015,C10272,2025-02-09,Software,High,Chat,Customer Success,Resolved,12.19,5.0
ST70016,C10978,2025-04-18,Hardware,Low,Email,Customer Success,Resolved,28.48,3.1
ST70017,C10415,2025-07-26,Installation,High,Phone,Engineering,Resolved,6.44,5.0
ST70018,C10787,2025-05-17,Training,High,Phone,Support,Resolved,37.49,5.0
ST70019,C10246,2025-11-01,Software,Medium,Chat,Engineering,Open,29.57,5.0
ST70020,C10972,2025-03-22,Performance,Medium,Phone,Support,Resolved,2.85,4.4
ST70021,C10277,2025-12-01,Installation,High,Chat,Support,Resolved,24.03,3.8
ST70022,C10181,2026-02-17,Billing,Medium,Email,Customer Success,Resolved,2.64,4.4
ST70023,C10323,2025-02-27,Software,Medium,Email,Support,Resolved,26.05,4.8
ST70024,C10173,2025-06-16,Hardware,Medium,Phone,Customer Success,Escalated,18.92,3.6
ST70025,C10598,2025-11-09,Software,Medium,Email,Customer Success,Pending Customer,34.64,3.3
ST70026,C10144,2025-02-08,Hardware,Medium,Chat,Customer Success,Open,12.57,3.9
ST70027,C10207,2026-01-21,Software,High,Email,Engineering,Resolved,19.59,3.5
ST70028,C10702,2026-03-14,Software,Medium,Phone,Support,Resolved,24.31,5.0
ST70029,C10042,2025-07-29,Billing,High,Portal,Support,Resolved,1.35,3.6
ST70030,C10440,2025-01-06,Training,Low,Phone,Support,Pending Customer,23.53,4.2
ST70031,C10692,2025-10-18,Hardware,High,Phone,Engineering,Resolved,1.51,4.8
ST70032,C10445,2026-05-20,Software,Medium,Portal,Customer Success,Resolved,9.49,5.0
ST70033,C10021,2025-06-19,Software,Medium,Portal,Engineering,Resolved,21.85,4.3
ST70034,C10158,2026-05-08,Training,Low,Phone,Support,Open,2.09,4.4
ST70035,C10970,2026-05-20,Connectivity,High,Phone,Support,Resolved,26.9,3.3
ST70036,C10772,2025-06-12,Installation,Medium,Phone,Engineering,Resolved,25.37,4.9
ST70037,C10350,2025-12-14,Billing,Medium,Portal,Customer Success,Pending Customer,33.64,5.0
ST70038,C10873,2025-01-25,Performance,Low,Portal,Support,Resolved,3.63,2.7
ST70039,C10006,2025-11-16,Billing,Low,Email,Support,Escalated,56.2,5.0
ST70040,C10047,2026-05-26,Billing,Low,Chat,Engineering,Resolved,5.57,3.6
ST70041,C10884,2026-07-02,Performance,Low,Email,Customer Success,Escalated,19.49,4.5
