transaction_id,customer_id,product_id,transaction_date,quantity,discount_pct,payment_status,sales_channel,gross_revenue,discount_amount,net_revenue,estimated_cost,estimated_margin
T50000,C10210,P1150,2025-09-16,7,0.02,Paid,Partner,6680.52,133.61,6546.91,5676.3,870.61
T50001,C10456,P1176,2026-02-05,22,0.1,Paid,Direct,17844.42,1784.44,16059.98,5980.7,10079.28
T50002,C10751,P1215,2026-02-26,13,0.0,Paid,Direct,11863.15,0.0,11863.15,10315.76,1547.39
T50003,C10659,P1059,2026-01-05,23,0.02,Paid,Direct,46702.42,934.05,45768.37,25874.77,19893.6
T50004,C10114,P1237,2025-12-04,10,0.0,Paid,Partner,2471.2,0.0,2471.2,1812.9,658.3
T50005,C10879,P1205,2026-01-02,26,0.02,Failed,Direct,20910.5,418.21,20492.29,18183.1,2309.19
T50006,C10927,P1182,2025-05-07,11,0.02,Paid,Direct,19325.24,386.5,18938.74,10726.65,8212.09
T50007,C10477,P1292,2025-04-30,23,0.0,Paid,Partner,29980.27,0.0,29980.27,26069.81,3910.46
T50008,C10340,P1240,2026-06-24,25,0.02,Paid,Online,10054.75,201.1,9853.65,8743.25,1110.4
T50009,C10531,P1326,2025-12-03,13,0.05,Paid,Online,16037.97,801.9,15236.07,13946.01,1290.06
T50010,C10801,P1341,2026-05-15,20,0.05,Paid,Partner,38488.4,1924.42,36563.98,8631.2,27932.78
T50011,C10452,P1288,2025-12-29,4,0.0,Paid,Direct,5394.04,0.0,5394.04,1670.0,3724.04
T50012,C10030,P1104,2025-09-22,15,0.0,Pending,Partner,26913.3,0.0,26913.3,15499.05,11414.25
T50013,C10072,P1066,2025-11-27,11,0.02,Paid,Online,12301.41,246.03,12055.38,10696.84,1358.54
T50014,C10811,P1104,2026-02-06,28,0.1,Refunded,Direct,50238.16,5023.82,45214.34,28931.56,16282.78
T50015,C10787,P1249,2025-04-18,28,0.1,Paid,Direct,24428.32,2442.83,21985.49,21241.92,743.57
T50016,C10772,P1302,2025-09-26,23,0.0,Paid,Direct,20216.08,0.0,20216.08,17579.13,2636.95
T50017,C10126,P1308,2026-02-24,28,0.05,Paid,Online,43095.36,2154.77,40940.59,12182.52,28758.07
T50018,C10170,P1239,2025-02-20,29,0.05,Paid,Online,58974.11,2948.71,56025.4,3261.92,52763.48
T50019,C10394,P1238,2025-02-12,23,0.2,Failed,Partner,28689.74,5737.95,22951.79,24947.64,-1995.85
T50020,C10230,P1333,2025-04-03,18,0.0,Paid,Direct,16687.08,0.0,16687.08,11401.92,5285.16
T50021,C10386,P1240,2025-12-09,6,0.02,Paid,Online,2413.14,48.26,2364.88,2098.38,266.5
T50022,C10558,P1049,2025-05-19,24,0.05,Paid,Direct,45519.12,2275.96,43243.16,9619.68,33623.48
T50023,C10280,P1175,2025-09-11,6,0.0,Refunded,Direct,5313.78,0.0,5313.78,4620.66,693.12
T50024,C10123,P1125,2025-03-19,6,0.0,Paid,Partner,6572.1,0.0,6572.1,5714.88,857.22
T50025,C10402,P1222,2025-05-26,26,0.0,Paid,Partner,26889.72,0.0,26889.72,10680.8,16208.92
T50026,C10722,P1222,2025-01-11,4,0.02,Paid,Online,4136.88,82.74,4054.14,1643.2,2410.94
T50027,C10618,P1103,2026-04-14,5,0.05,Paid,Direct,6443.5,322.18,6121.32,5300.05,821.27
T50028,C10321,P1104,2025-09-28,15,0.05,Paid,Direct,26913.3,1345.66,25567.64,15499.05,10068.59
T50029,C10311,P1031,2025-04-13,17,0.0,Paid,Direct,12728.24,0.0,12728.24,3869.88,8858.36
T50030,C10583,P1102,2025-11-02,2,0.1,Pending,Direct,1483.66,148.37,1335.29,1290.14,45.15
T50031,C10172,P1289,2026-06-26,11,0.02,Paid,Online,9201.39,184.03,9017.36,8001.18,1016.18
T50032,C10833,P1229,2026-04-24,7,0.2,Paid,Direct,10854.76,2170.95,8683.81,8376.76,307.05
T50033,C10869,P1330,2026-05-29,9,0.0,Paid,Direct,10100.07,0.0,10100.07,8782.65,1317.42
T50034,C10025,P1324,2025-08-24,6,0.1,Paid,Direct,12727.08,1272.71,11454.37,3925.62,7528.75
T50035,C10970,P1299,2025-07-29,20,0.15,Paid,Partner,37286.0,5592.9,31693.1,7828.8,23864.3
T50036,C10023,P1062,2025-07-03,14,0.1,Pending,Online,15438.92,1543.89,13895.03,13425.16,469.87
T50037,C10458,P1116,2025-06-26,28,0.1,Paid,Direct,50170.12,5017.01,45153.11,3869.6,41283.51
T50038,C10667,P1020,2026-06-18,1,0.02,Paid,Direct,1068.9,21.38,1047.52,280.78,766.74
T50039,C10327,P1032,2025-03-21,23,0.05,Pending,Online,26562.7,1328.14,25234.56,19296.54,5938.02
T50040,C10203,P1080,2026-05-09,27,0.05,Paid,Partner,47333.97,2366.7,44967.27,24719.58,20247.69
T50041,C10047,P1098,2026-06-16,15,0.02,Paid,Direct,16548.0,330.96,16217.04,11131.2,5085.84
T50042,C10727,P1005,2026-05-05,21,0.2,Paid,Direct,32753.91,6550.78,26203.13,22631.49,3571.64
T50043,C10036,P1294,2025-12-30,13,0.0,Paid,Online,9707.88,0.0,9707.88,8441.68,1266.2
T50044,C10484,P1184,2026-05-12,18,0.02,Paid,Partner,20273.94,405.48,19868.46,13527.72,6340.74
T50045,C10392,P1229,2025-01-19,27,0.15,Paid,Direct,41868.36,6280.25,35588.11,32310.36,3277.75
T50046,C10967,P1228,2026-04-20,16,0.0,Pending,Direct,18139.52,0.0,18139.52,3261.76,14877.76
T50047,C10930,P1338,2025-10-24,17,0.0,Paid,Direct,22412.12,0.0,22412.12,6702.76,15709.36
T50048,C10817,P1051,2026-07-10,29,0.0,Failed,Direct,58422.82,0.0,58422.82,3127.36,55295.46
T50049,C10730,P1119,2025-02-19,15,0.1,Paid,Direct,21373.35,2137.34,19236.01,15372.0,3864.01
T50050,C10542,P1107,2026-06-24,6,0.1,Failed,Direct,2381.52,238.15,2143.37,2070.9,72.47
T50051,C10349,P1193,2025-11-29,20,0.0,Paid,Direct,29769.8,0.0,29769.8,9073.4,20696.4
T50052,C10166,P1184,2025-03-02,21,0.05,Failed,Direct,23652.93,1182.65,22470.28,15782.34,6687.94
T50053,C10968,P1276,2025-10-23,7,0.05,Pending,Direct,8615.46,430.77,8184.69,7491.68,693.01
T50054,C10384,P1196,2025-01-22,22,0.05,Refunded,Direct,22826.98,1141.35,21685.63,8426.0,13259.63
T50055,C10428,P1081,2025-02-18,2,0.05,Paid,Partner,3853.88,192.69,3661.19,1989.12,1672.07
T50056,C10141,P1197,2025-11-05,10,0.2,Paid,Direct,5610.8,1122.16,4488.64,4879.0,-390.36
T50057,C10276,P1337,2026-04-19,25,0.0,Paid,Online,43876.75,0.0,43876.75,3556.0,40320.75
T50058,C10634,P1202,2025-03-04,18,0.0,Paid,Online,11808.36,0.0,11808.36,10268.1,1540.26
T50059,C10426,P1207,2025-06-02,18,0.05,Paid,Online,19746.54,987.33,18759.21,17170.92,1588.29
T50060,C10585,P1061,2025-08-15,19,0.02,Failed,Direct,13185.81,263.72,12922.09,11465.93,1456.16
T50061,C10211,P1002,2025-11-11,5,0.02,Paid,Direct,10953.5,219.07,10734.43,5957.3,4777.13
T50062,C10082,P1073,2025-01-01,28,0.0,Pending,Partner,60555.6,0.0,60555.6,13974.52,46581.08
T50063,C10885,P1008,2026-01-06,9,0.0,Paid,Direct,13174.38,0.0,13174.38,3904.56,9269.82
T50064,C10432,P1158,2025-10-16,23,0.15,Pending,Direct,27614.03,4142.1,23471.93,24012.23,-540.3
T50065,C10361,P1308,2026-07-13,29,0.0,Failed,Direct,44634.48,0.0,44634.48,12617.61,32016.87
T50066,C10286,P1156,2025-06-24,7,0.05,Paid,Partner,3948.42,197.42,3751.0,2146.83,1604.17
